code,name,industry
300568,N星源,化工原料
603660,N科达,通信设备
600050,中国联通,电信运营
603319,湘油泵,汽车配件
601500,通用股份,汽车配件
2564,天沃科技,化工机械
2819,东方中科,电器仪表
2823,凯中精密,机械基件
601116,三江购物,超市连锁
603987,康德莱,医疗保健
2389,南洋科技,元器件
2408,齐翔腾达,化工原料
600712,南宁百货,百货
300566,激智科技,元器件
603977,国泰集团,化工原料
2485,希努尔,服饰
2821,凯莱英,生物制药
300565,科信技术,通信设备
300569,天能重工,专用机械
300561,汇金科技,软件服务
600477,杭萧钢构,钢加工
300411,金盾股份,专用机械
2825,纳尔股份,化工原料
2822,中装建设,装修装饰
300562,乐心医疗,医疗保健
603727,博迈科,石油开采
300567,精测电子,电器仪表
603633,徕木股份,元器件
300556,丝路视觉,软件服务
603777,来伊份,其他商业
600992,贵绳股份,钢加工
603819,神力股份,电气设备
2820,桂发祥,食品
300376,易事特,电气设备
300563,神宇股份,通信设备
603060,国检集团,建筑施工
600599,熊猫金控,多元金融
603900,通灵珠宝,服饰
672,上峰水泥,水泥
603323,吴江银行,银行
603336,宏辉果蔬,农业综合
2059,云南旅游,旅游景点
300242,明家联合,互联网
980,金马股份,汽车配件
601882,海天精工,机床制造
2419,天虹商场,百货
518,四环生物,生物制药
2583,海能达,通信设备
951,中国重汽,汽车整车
603067,振华股份,化工原料
603843,正平股份,建筑施工
338,潍柴动力,汽车配件
416,民生控股,多元金融
2691,冀凯股份,专用机械
600158,中体产业,文教休闲
600048,保利地产,全国地产
600985,雷鸣科化,化工原料
2383,合众思壮,通信设备
651,格力电器,家用电器
898,鞍钢股份,普钢
2159,三特索道,旅游景点
603519,立霸股份,家用电器
601099,太平洋,证券
600376,首开股份,区域地产
300164,通源石油,石油开采
2648,卫星石化,化工原料
600856,中天能源,供气供热
600803,新奥股份,农药化肥
600785,新华百货,百货
603313,恒康家居,家居用品
2713,东易日盛,装修装饰
300359,全通教育,文教休闲
600167,联美控股,供气供热
603322,超讯通信,通信设备
514,渝 开 发,区域地产
2132,恒星科技,钢加工
880,潍柴重机,机械基件
2558,世纪游轮,旅游服务
600421,仰帆控股,机械基件
2738,中矿资源,建筑施工
2599,盛通股份,广告包装
600759,洲际油气,石油开采
656,金科股份,区域地产
601989,中国重工,船舶
300082,奥克股份,化工原料
69,华侨城Ａ,旅游景点
2795,永和智控,机械基件
603203,快克股份,专用机械
600241,时代万恒,商贸代理
601808,中海油服,石油开采
2793,东音股份,专用机械
601968,宝钢包装,广告包装
600166,福田汽车,汽车整车
603667,五洲新春,机械基件
37,*ST南电A,火力发电
637,茂化实华,石油加工
600606,绿地控股,全国地产
2146,荣盛发展,全国地产
779,三毛派神,纺织
2353,杰瑞股份,化工机械
300159,新研股份,农用机械
601600,中国铝业,铝
2464,金利科技,互联网
600694,大商股份,百货
546,金圆股份,水泥
600831,广电网络,影视音像
600787,中储股份,仓储物流
600608,上海科技,普钢
600381,青海春天,医疗保健
2130,沃尔核材,电气设备
2163,中航三鑫,装修装饰
2758,华通医药,医药商业
703,恒逸石化,化纤
2559,亚威股份,机床制造
708,大冶特钢,特种钢
402,金 融 街,全国地产
601919,中国远洋,水运
600438,通威股份,饲料
600266,北京城建,区域地产
2213,特 尔 佳,汽车配件
2818,富森美,房产服务
600967,北方创业,运输设备
300340,科恒股份,元器件
2660,茂硕电源,电气设备
63,中兴通讯,通信设备
300534,陇神戎发,中成药
417,合肥百货,百货
600178,东安动力,汽车配件
600503,华丽家族,区域地产
2811,亚泰国际,装修装饰
300121,阳谷华泰,化工原料
2716,金贵银业,小金属
2127,南极电商,互联网
601801,皖新传媒,出版业
300344,太空板业,其他建材
1979,招商蛇口,全国地产
581,威孚高科,汽车配件
573,粤宏远Ａ,区域地产
2027,分众传媒,软件服务
600546,*ST山煤,煤炭开采
600325,华发股份,区域地产
300491,通合科技,电气设备
778,新兴铸管,钢加工
927,一汽夏利,汽车整车
601678,滨化股份,化工原料
2264,新 华 都,超市连锁
300304,云意电气,汽车配件
600817,*ST宏盛,半导体
601718,际华集团,服饰
600378,天科股份,化工原料
300417,南华仪器,电器仪表
603988,中电电机,电气设备
600697,欧亚集团,百货
601333,广深铁路,铁路
603887,城地股份,建筑施工
630,铜陵有色,铜
603816,顾家家居,家居用品
603861,白云电器,电气设备
600658,电子城,园区开发
2347,泰尔股份,机械基件
300382,斯莱克,专用机械
600585,海螺水泥,水泥
975,银泰资源,铅锌
603859,能科股份,软件服务
31,中粮地产,全国地产
600466,蓝光发展,区域地产
153,丰原药业,化学制药
600647,同达创业,综合类
603421,鼎信通讯,通信设备
600322,天房发展,区域地产
300312,邦讯技术,通信设备
600660,福耀玻璃,汽车配件
300266,兴源环境,机械基件
2554,惠博普,石油开采
833,贵糖股份,造纸
2447,壹桥股份,渔业
2656,摩登大道,服饰
300448,浩云科技,软件服务
600352,浙江龙盛,染料涂料
601588,北辰实业,区域地产
2619,巨龙管业,水泥
600592,龙溪股份,机械基件
2028,思源电气,电气设备
601611,中国核建,建筑施工
2669,康达新材,化工原料
2503,搜于特,服饰
300423,鲁亿通,电气设备
2614,蒙发利,医疗保健
159,国际实业,石油贸易
603007,花王股份,建筑施工
601117,中国化学,建筑施工
603888,新华网,互联网
600150,中国船舶,船舶
600742,一汽富维,汽车配件
2342,巨力索具,机械基件
731,四川美丰,农药化肥
2591,恒大高新,化工原料
2537,海立美达,汽车整车
709,河钢股份,普钢
600661,新南洋,文教休闲
757,浩物股份,汽车配件
2053,云南能投,食品
600329,中新药业,中成药
150,宜华健康,医疗保健
600497,驰宏锌锗,铅锌
300142,沃森生物,生物制药
65,北方国际,建筑施工
2026,山东威达,机械基件
600064,南京高科,园区开发
603338,浙江鼎力,专用机械
2062,宏润建设,建筑施工
600010,包钢股份,普钢
603016,新宏泰,电气设备
600782,新钢股份,钢加工
600072,钢构工程,船舶
600173,卧龙地产,全国地产
673,当代东方,影视音像
603556,海兴电力,电器仪表
2481,双塔食品,食品
600717,天津港,港口
600365,通葡股份,红黄药酒
600028,中国石化,石油加工
2251,步 步 高,超市连锁
300030,阳普医疗,医疗保健
600743,华远地产,区域地产
