,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,代码,名称,涨跌幅度,前收盘,最高,最低,收盘,振荡幅度,成交量,总金额,市场比%%,换手率%%,5日量变%%
0,300568,N星源,化工原料,深圳,22.71,0.3,1.2,125386.71,52125.18,48269.6,23177.73,1.93,1.03,6.61,4.72,20161201,23855.67,1.99,38.89,82.25,60.79,32.31,54314,300568,星源材质,32.02,25.98,34.3,34.3,34.3,,2900, 9.95万,0.0,0.01,
1,603660,N科达,通信设备,江苏,91.64,0.5,2.5,95091.3,77222.65,7630.92,3052.75,0.12,0.095,3.15,3.67,20161201,39285.68,1.57,0.0,0.0,66.92,2.73,49529,603660,苏州科达,31.95,9.64,12.72,12.72,12.72,,13200,16.79万,0.0,0.03,
2,600050,中国联通,电信运营,上海,238.41,211.97,211.97,59707816.0,6569916.5,35370480.0,2781153.25,1.31,0.023,3.67,2.0,20021009,2991366.25,1.41,-2.25,-81.83,23.53,0.24,609113,600050,中国联通,11.22,6.15,7.37,3.69,6.84,99.73,  298.1亿,  1496亿,0.28,140.62,374.8
3,603319,湘油泵,汽车配件,湖南,26.83,0.2,0.81,80966.18,43656.84,29155.3,4352.12,0.54,0.463,6.59,2.51,20161130,25877.52,3.2,0.0,0.0,30.54,9.63,22415,603319,湘油泵,21.05,15.06,18.23,16.57,18.23,10.02,5000, 8.82万,0.0,0.02,34.49
4,601500,通用股份,汽车配件,江苏,105.78,1.75,7.27,409778.13,222723.17,144775.31,74228.81,1.02,0.24,3.44,7.46,20160919,89047.24,1.22,0.0,0.0,17.22,5.53,99701,601500,通用股份,343.9,5.9,31.58,7.79,26.19,305.39,  23.99亿, 502.8亿,0.1,1371.43,219853.58
5,002564,天沃科技,化工机械,江苏,0.0,5.22,7.4,665665.19,407869.44,190213.06,142869.5,1.93,-0.075,3.69,2.88,20110310,50698.5,0.69,-40.69,-195.58,19.7,-5.65,64858,002564,天沃科技,-5.79,10.89,12.84,6.1,10.26,110.49,  45.67亿, 401.6亿,0.05,874.89,-28.44
6,002819,东方中科,电器仪表,北京,100.45,0.28,1.13,37448.25,32769.46,4417.0,4937.33,0.44,0.202,3.67,7.4,20161111,16137.75,1.42,0.0,0.0,13.79,4.84,49910,002819,东方中科,401.34,5.95,29.83,7.85,29.83,280.0,340870,  809万,0.0,1.2,2156.87
7,002823,凯中精密,机械基件,深圳,38.74,0.36,1.44,109496.15,47008.43,0.0,0.0,0.0,0.617,4.69,6.79,20161124,0.0,0.0,0.0,0.0,0.0,11.3,63764,002823,凯中精密,105.39,17.06,35.04,21.75,35.04,61.1,46993,  140万,0.0,0.13,169.41
8,601116,三江购物,超市连锁,浙江,111.68,4.02,4.11,275138.5,151902.02,101845.99,66753.46,1.63,0.187,3.84,7.24,20110302,40444.0,0.98,-4.78,20.36,20.91,2.42,13945,601116,三江购物,138.54,11.65,27.79,8.01,27.79,246.94,   8.02亿, 102.7亿,0.02,199.47,192.1
9,603987,康德莱,医疗保健,上海,60.51,0.53,2.1,138543.44,61346.1,66355.77,20036.95,0.95,0.364,4.21,6.96,20161121,27593.8,1.31,0.0,0.0,32.89,9.32,47595,603987,康德莱,182.98,11.4,32.26,15.05,32.26,114.35,322193,  895万,0.0,0.61,1767.52
10,002389,南洋科技,元器件,浙江,124.31,5.28,7.1,391945.22,142354.05,103676.06,220882.8,3.11,0.139,4.82,4.77,20100413,46782.55,0.66,31.98,41.84,28.61,11.35,41874,002389,南洋科技,39.69,18.09,25.27,11.34,25.27,122.84,   7.12亿, 124.4亿,0.02,134.86,-81.05
11,002408,齐翔腾达,化工原料,山东,65.97,16.76,17.75,835277.19,230317.52,338070.91,217425.55,1.22,0.142,3.17,3.95,20100518,145142.23,0.82,12.92,51.29,17.26,6.99,40429,002408,齐翔腾达,107.68,5.86,13.78,4.08,12.17,237.75,  62.31亿, 595.8亿,0.07,371.79,803.58
12,600712,南宁百货,百货,广西,0.0,5.38,5.45,206961.56,48638.12,116333.51,36985.75,0.68,-0.028,1.98,6.48,19960626,11671.85,0.21,-9.27,-114.83,15.93,-0.98,35767,600712,南宁百货,43.6,8.9,13.2,6.88,12.78,91.86,  32.12亿, 329.4亿,0.06,597.12,-28.37
13,300566,激智科技,元器件,浙江,91.1,0.2,0.8,115909.72,60438.1,29516.93,6968.43,0.88,0.556,4.92,13.71,20161115,15088.3,1.9,0.0,0.0,31.27,10.15,36235,300566,激智科技,314.11,17.93,74.25,23.66,74.25,213.82,164300, 1052万,0.0,0.83,1496.35
14,603977,国泰集团,化工原料,江西,68.73,0.55,2.21,94698.53,27426.05,39754.76,9546.63,0.43,0.385,3.96,8.92,20161111,34196.62,1.55,0.0,0.0,48.34,26.28,53695,603977,国泰集团,401.55,7.74,38.82,10.22,38.82,279.84,   2290万,  8.36亿,0.0,41.43,133991.23
15,002485,希努尔,服饰,山东,382.66,3.2,3.2,244909.95,94639.02,89335.71,126202.7,3.94,0.038,6.19,3.13,20101015,32243.9,1.01,-31.47,8946.06,21.27,2.34,8316,002485,希努尔,27.34,15.14,21.0,14.51,19.28,44.73,   5.38亿,  96.1亿,0.01,168.23,-39.02
16,002821,凯莱英,生物制药,天津,46.53,0.23,1.13,155990.27,80530.0,49337.9,35648.09,3.16,1.671,12.45,8.33,20161118,58084.82,5.15,0.0,0.0,53.8,24.0,40782,002821,凯莱英,211.27,36.64,114.05,48.36,114.05,135.84,151581, 1430万,0.0,0.66,689.27
17,300565,科信技术,通信设备,深圳,53.64,0.4,1.6,87290.11,78041.32,1163.55,2757.06,0.17,0.344,3.3,7.46,20161122,22881.7,1.43,0.0,0.0,36.02,10.82,69388,300565,科信技术,157.02,10.54,27.09,13.9,27.09,94.89,58483,  124万,0.0,0.15,113.26
18,300569,天能重工,专用机械,山东,35.89,0.21,0.83,130181.85,104246.09,13808.07,18605.95,2.23,1.832,12.64,6.93,20161125,51067.76,6.13,3.83,54.01,36.08,20.07,37093,300569,天能重工,93.3,49.88,96.42,65.85,96.42,46.42,27300,  238万,0.0,0.13,145.64
19,300561,汇金科技,软件服务,广东,68.89,0.14,0.56,29191.19,25798.59,1705.75,3898.08,0.7,1.062,6.34,15.38,20161117,16487.13,2.94,0.0,0.0,75.05,40.27,25575,300561,汇金科技,242.52,31.33,107.31,41.36,107.31,159.45,98934,  913万,0.0,0.71,1343.93
20,600477,杭萧钢构,钢加工,浙江,30.32,8.03,10.57,649570.25,542410.81,67907.72,26852.85,0.25,0.28300000000000003,1.87,6.11,20031110,60056.35,0.57,2.86,155.12,30.38,11.04,54483,600477,杭萧钢构,30.34,8.47,11.65,6.58,11.04,77.05,  45.65亿, 455.4亿,0.09,568.81,74.95
21,300411,金盾股份,专用机械,浙江,143.21,0.76,1.6,85665.95,62162.63,17302.22,20002.81,1.25,0.214,3.58,11.39,20141231,19366.55,1.21,6.5,1.29,40.75,13.4,12663,300411,金盾股份,18.67,34.77,51.95,19.05,41.26,172.7,   6.73亿, 228.0亿,0.03,887.02,20.88
22,002825,纳尔股份,化工原料,上海,27.23,0.25,1.0,46835.26,27741.95,14853.76,1918.71,0.19,0.488,4.53,3.91,20161129,21985.81,2.2,0.28,6.09,24.83,12.26,46122,002825,纳尔股份,59.67,12.2,19.48,16.1,19.48,20.99,4775, 8.50万,0.0,0.02,24.68
23,002822,中装建设,装修装饰,深圳,34.68,0.75,3.0,252479.34,234171.84,12791.67,35477.35,1.18,0.385,5.39,3.3,20161129,58170.48,1.94,0.0,0.0,16.35,6.05,125676,002822,中装建设,47.81,13.26,19.6,16.2,19.6,20.99,31268,56.95万,0.0,0.04,57.4
24,300562,乐心医疗,医疗保健,广东,49.95,0.15,0.59,42264.53,29384.44,0.0,0.0,0.0,0.965,6.18,10.39,20161116,0.0,0.0,0.0,0.0,0.0,10.05,27103,300562,乐心医疗,276.76,18.76,70.68,24.76,70.68,185.46,69038,  388万,0.0,0.47,830.58
25,603727,博迈科,石油开采,天津,49.19,0.59,2.34,267119.56,150583.66,0.0,0.0,0.0,0.8909999999999999,6.95,8.41,20161122,0.0,0.0,0.0,0.0,0.0,8.7,52893,603727,博迈科,114.41,29.97,64.26,32.97,64.26,94.9,   2149万,  13.4亿,0.0,36.61,66650.68
26,300567,精测电子,电器仪表,湖北,67.02,0.2,0.8,52411.3,46219.73,2577.2,1836.0,0.23,0.626,4.95,11.29,20161122,19880.13,2.49,0.0,0.0,50.58,14.68,36332,300567,精测电子,157.28,23.9,61.49,31.55,61.49,94.9,43480,  242万,0.0,0.22,345.35
27,603633,徕木股份,元器件,上海,59.69,0.3,1.2,83664.28,0.0,0.0,0.0,0.0,0.317,5.4,4.67,20161117,0.0,0.0,0.0,0.0,0.0,15.3,29238,603633,徕木股份,242.22,8.1,27.72,10.69,27.72,159.31,234257,  531万,0.0,0.78,1168.47
28,300556,丝路视觉,软件服务,深圳,350.07,0.28,1.11,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,14.5,20161104,9011.55,0.81,0.0,0.0,41.02,4.26,50627,300556,丝路视觉,708.27,6.65,53.75,8.78,53.75,512.19,518488, 2103万,0.0,1.87,3526.86
