代码,名称,涨跌幅度,前收盘,最高,最低,收盘,振荡幅度,成交量,总金额,市场比%%,换手率%%,5日量变%%
300506,名家汇,1193.87,4.08,71.47,5.4,52.79,1223.52,  21.70亿,  1106亿,0.13,2893.65,265974
002785,万里石,1185.77,2.74,48,3.62,35.23,1225.97,  21.44亿, 604.3亿,0.07,4288.54,230299.44
300503,昊志机电,885.96,9.26,103.5,12.23,91.3,746.28,   9.39亿, 609.9亿,0.07,3757.97,163645.84
300531,优博讯,799.6,17.63,168.88,21.16,158.6,698.11,   2.72亿, 323.3亿,0.04,1360.22,283509.03
300520,科大国创,757.38,12.06,153,15.92,103.4,861.06,   2.97亿, 367.0亿,0.04,1292.84,63670.91
002805,丰元股份,739.22,6.96,71.99,9.19,58.41,683.35,   3.92亿, 237.5亿,0.03,1616.02,85765.03
002806,华锋股份,731.54,8.18,79.95,9.82,68.02,714.15,   2.21亿, 151.3亿,0.02,1106.74,109767.66
300484,蓝海华腾,727.66,11.1,130.86,14.7,91.87,790.2,   4.62亿, 582.6亿,0.07,1776.44,61750.31
002777,久远银海,722.64,13.25,136,17.65,109,670.54,   4.49亿, 441.5亿,0.05,2245.99,47181.87
002800,天顺股份,722.51,9.24,113.38,12.2,76,829.34,   3.08亿, 269.5亿,0.03,1647.03,28878.16
300505,川金诺,713.82,12.3,114.1,16.24,100.1,602.59,  10.29亿, 648.0亿,0.08,4408.91,248150.8
002782,可立克,709.92,3.93,40.1,4.76,31.83,742.44,  29.77亿,  1102亿,0.13,2795.23,186773.09
300556,丝路视觉,708.27,6.65,53.75,8.78,53.75,512.19,518488, 2103万,0,1.87,3526.86
300491,通合科技,682.87,13.54,133.2,16.3,106,717.18,   7.57亿, 611.1亿,0.07,3785.16,479529.66
002803,吉宏股份,670.16,7.64,65.8,10.09,58.84,552.13,   4.31亿, 234.1亿,0.03,1486.07,411078.47
002801,微光股份,654.11,23.21,198,30.7,175.03,544.95,   2.36亿, 395.3亿,0.05,1606.42,109948.32
300526,中潜股份,643.29,13.86,119.33,16.63,103.02,617.56,   1.88亿, 173.3亿,0.02,885.5,213937.7
300496,中科创达,632.21,7.14,85.79,9.31,52.28,821.48,  10.70亿,  1361亿,0.16,1094.97,84327.19
300474,景嘉微,626.67,8.1,86.2,10.71,58.86,704.86,   6.96亿, 795.3亿,0.1,1039.06,57668.72
300539,横河模具,622.48,7.34,61,9.69,53.03,529.52,   2.81亿, 147.5亿,0.02,1184.15,266798.16
300525,博思软件,612.81,13.82,136.75,18.3,98.51,647.27,   1.50亿, 164.3亿,0.02,874.85,62823.63
002780,三夫户外,591,12.33,122.96,14.82,85.2,729.69,   5.35亿, 453.2亿,0.05,3147.9,51280.34
